title,price,published,acreage,address,latitude,longitude
Phòng trọ có gác mới xây sát lotte quận 7,3.6,15/05/2022,20.0,"Đường Mai Văn Vĩnh, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.741964772683342,106.71370790723509
"Mai Văn Vĩnh Quận 7,DupLex/Studio Mới Xây Giảm 1tr2, dọn vào ở ngay",4.8,18/05/2022,30.0,"Đường số 85, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7393816,106.711322
Cho thuê phòng trọ mới xây Phường Tân Quy cách Lotte 900M,4.8,17/05/2022,30.0,"Đường số 79, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7400885,106.7099072
Phòng mới xây 3' đi Lotte Mart Q7 - full tiện nghi - CỬA SỔ thoáng mát,3.5,12/05/2022,25.0,"Lâm Văn Bền, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7420244,106.7158713
Phòng trọ mới đầy đủ tiện nghi cách Lotte Mart Quận 7 chưa tới 5 phút,3.0,19/05/2022,20.0,"Đường số 34, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7398755,106.7080644
"Cho thuê phòng trọ quận 7 ngay khu chế xuất Tân thuận, phòng có gác có cửa sổ",3.2,29/12/2021,20.0,"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.747555667713659,106.73496763244081
Phòng có ban công full nội thất Tân Quy,2.5,12/06/2022,15.0,"77 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7409372,106.7068403
"Cho thuê phòng trọ tại 44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7 ngay KCX Tân Thuận",2.8,26/12/2021,24.0,"44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.750160206999661,106.7302271019962
"Phòng Q.7 gần LOTTE (ban công lớn, cửa sổ lớn thoáng mát)",3.6,04/06/2022,25.0,"Đường 8, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7434378,106.7087547
"Phòng sạch sẽ, giá rẻ Bùi Văn Ba gần KCX Tân Thuận. Alo xem phòng: 0776617356",2.3,06/01/2022,15.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.75037071595129,106.73294373984922
"Cho Thuê phòng quận 7 , ngay khu xuất tân Thuận , có gác có cửa sổ",3.3,29/12/2021,20.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.75037071595129,106.73294373984922
"DUPLEX Full nội thất P.Tân Quy Q.7, Domus Home",4.7,20/05/2022,30.0,"Đường số 85, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7393816,106.711322
Phòng có gác mới tinh có máy lạnh lotte Q7,4.0,13/06/2022,20.0,"Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh",10.7389949,106.7097417
( HÌNH THẬT 100%) QUẬN 10 Căn Hộ 30m2,6.0,03/04/2022,35.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7851926,106.6678333
"Cho thuê phòng trọ tại Bùi Văn Ba số 98/82 Phường Tân Thuận Đông, Quận 7 phòng mới",2.5,05/02/2022,13.0,"98 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.750257755999694,106.73165566099617
"Hổ trợ cọc, giữ phòng qua tết. Gác 1m6 gần ĐH Bách Khoa Quận 10, ngay vòng xoay Lê Đại Hành",3.9,23/01/2022,25.0,"Phố Lý Thường Kiệt, Phường 15, Quận 10, Hồ Chí Minh",10.7681693,106.6590123
Phòng - Căn Hộ 2 Phòng Ngủ QUẬN 10 ( Đối Diện Công Viê Lê Thị Riêng ),7.0,03/04/2022,50.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7851151,106.6679902
[CHỈ 5tr]Phòng Duplex sát CV Lê Thị Riêng Q10 ở liền được,5.0,25/03/2022,28.0,"Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7851926,106.6678333
KTX chỉ 900k/tháng ngay trung tâm quận 10,1.15,15/04/2022,60.0,"50 Cư Xá Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh",10.778169878000028,106.66358945700006
"Lì Xì Tiền Phòng Tháng 1, Phòng thuê ngay KCX Tân Thuận - GẦN ĐH NTT Q4.",3.0,18/01/2022,25.0,"118/17 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.749589141000058,106.73220489400006
Phòng trọ có gác siêu rộng và ban công ngay công viên Lê Thị Riêng,4.5,15/04/2022,30.0,"Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.7851151,106.6679902
"Cho thuê phòng trọ 24m2 ngay KCX Tân Thuận Quận 7. Giá thuê từ 2,5tr -2,8/tháng",2.6,09/02/2022,24.0,"44 Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.750160206999661,106.7302271019962
"GIÁ ƯU ĐÃI MÙA DỊCH-Phòng gác lửng, Ban công thoáng, Máy lạnh 457 H Tấn Phát Quận 7 gần Big C, KCX Tân Thuận Q7",3.5,08/02/2022,25.0,"457 Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.746181209999685,106.7291399879962
Phòng Trọ Unicorn Quận 7 Siêu Đẹp đa dạng các loại phòng từ tiêu chuẩn đến cao cấp rộng từ 15m2 đến 30m2 Chỉ từ 4 Triệu,4.0,10/02/2022,20.0,"76 Đường Trần Trọng Cung, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.743462108000074,106.73338296000009
Cho thuê phòng trọ gần KCX Tân Thuận chỉ 2tr,2.0,16/02/2022,16.0,"Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7470675,106.7289502
"Cho thuê phòng Đẹp Giá Rẻ tại Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7",4.0,28/02/2022,40.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.75037071595129,106.73294373984922
"Cho Thuê Phòng Siêu Rộng 40m2, Ở Được 4 5 Người & Xe Máy, Giờ Giấc Tự Do, Được Nuôi Cún",4.0,26/02/2022,40.0,"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.747555667713659,106.73496763244081
Chính chủ cho thuê phòng trọ Khu Dân Cư cao cấp quận 7,4.2,27/03/2022,33.0,"đường số 12 12, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7427731,106.7335327
Cho thuê phòng trọ tại Quận 7 - Giá thuê chỉ từ 2.500.000 VND,2.5,05/04/2022,20.0,"487/35 Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7455709,106.7312635
"Cho thuê căn hộ mini có trang bị máy giặt tự động, rộng 20m2 + gác lửng 8m2, Giá thuê phòng từ 3.5 tr/tháng - 5tr/tháng",4.5,08/04/2022,11.0,"87 Đường số 10, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.744115186000045,106.73421370900007
"Cho Thuê Phòng Trọ, Nhà Trọ Giá Rẻ Quận 7 Mới Nhất 2022 Phòng Mới 100%",4.0,16/04/2022,22.0,"Đường Bùi Văn Ba, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.75037071595129,106.73294373984922
"Phòng trọ an ninh Quận 7 full nội thất, 30m2, gần khu chế xuất Tân Thuận",4.2,09/04/2022,30.0,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7470675,106.7289502
Khai Trương Phòng Trọ Cao Cấp Sẵn Nội Thất Ngay KCX Tân Thuận - Nhà Thi Đấu Đa Năng,4.0,15/04/2022,32.0,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7470675,106.7289502
Duplex ban công Quận 7 _full nội thất_gần bệnh viện Quận 7_khu chế xuất Tân Thuận_cầu Phú Mỹ_Lotte,4.2,09/04/2022,30.0,"Nguyễn Thị Thập, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.738715,106.7112074
Cho Thuê Phòng Ở Ghép Gía Sinh Viên Ngay Quận 10,0.85,25/04/2022,35.0,"52 Cư Xá Bắc Hải, Phường 15, Quận 10, Hồ Chí Minh",10.781587753000053,106.66583106500008
CHO THUÊ PHÒNG TRỌ CAO CẤP TẠI TRUNG TÂM QUẬN 10 ( ĐÃ HẾT PHÒNG),2.5,19/04/2022,20.0,"601/36/16 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.784458,106.6686921
Phòng trọ tại Quận 10 có gác lững giá từ giá 2tr3/Tháng đến 2tr5/tháng cho Nữ thuê,2.5,18/05/2022,11.0,"623/69 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.78513,106.6677086
"Ký túc xá 1.150k/tháng ngay Trường Sơn, Phường 15, Quận 10",0.9500000000000001,04/05/2022,35.0,"4 Đường Trường Sơn, Phường 15, Quận 10, Hồ Chí Minh",10.782954575000076,106.66428193500008
"Cho thuê phòng trọ, giờ giấc tự do, đường CMT8",1.5,17/05/2022,12.0,"Hẻm 601 Đường Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.784458,106.6686921
"Phòng trọ giá rẻ gần huflit, bách khoa, đh Phạm Ngọc Thạch",3.8,15/05/2022,20.0,"575/8 Cách Mạng Tháng Tám, Phường 15, Quận 10, Hồ Chí Minh",10.783763885498,106.669662475585
"PHÒNG 25m2 SẠCH ĐẸP, THOÁNG MÁT NGAY LÝ THƯỜNG KIỆT",2.8,26/05/2022,25.0,"7/24 Lý Thường Kiệt, Phường 15, Quận 10, Hồ Chí Minh",10.7704992,106.6580933
"Ktx chỉ 1.150k/tháng bao trọn phí sinh hoạt tại 52 Nguyễn Giản Thanh, Phường 15, Quận 10",1.15,26/05/2022,35.0,"52 Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh",10.781587753000053,106.66583106500008
"Phòng ban công , Nguyễn Giản Thanh, quận 10.",2.3,18/05/2022,16.0,"40/... Đường Nguyễn Giản Thanh, Phường 15, Quận 10, Hồ Chí Minh",10.781456534999876,106.66661682499688
Phòng trọ cao cấp Quận 7_ban công đầy đủ nội thất_Giáp Quận 4_chân cầu Tân Thuận_nhà thi đấu đa năng,4.2,10/04/2022,30.0,"Đường Nguyễn Thị Thập, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",10.7391268,106.7072649
